family,n_proteins,cluster_type,tier
Ferredoxin_4Fe4S,4681,4Fe-4S,core_validated
Rieske,4366,2Fe-2S,core_validated
Molybdoenzyme,2683,4Fe-4S,core_validated
Radical_SAM,2511,4Fe-4S,core_validated
WhiB,2200,4Fe-4S,core_validated
Ferredoxin_2Fe2S,2159,2Fe-2S,core_validated
NADH_dehydrogenase,1646,4Fe-4S,extended_pfam
Nitrite_sulfite_reductase,666,4Fe-4S,extended_pfam
Rieske_steroid_oxygenase,598,2Fe-2S,core_validated
SUF_biogenesis,556,assembly,core_validated
SDH_FRD,407,2Fe-2S/4Fe-4S,core_validated
Aconitase,407,4Fe-4S,extended_pfam
Glutamate_synthase,396,3Fe-4S,core_validated
Dihydroxyacid_dehydratase_IlvD,372,4Fe-4S,extended_pfam
IPM_isomerase_LeuC,329,4Fe-4S,extended_pfam
IspH_LytB,285,4Fe-4S,extended_pfam
Quinolinate_synthase_NadA,277,4Fe-4S,extended_pfam
SufU_assembly,275,assembly,extended_pfam
IspG_HMBPP_synthase,273,4Fe-4S,core_validated
Ferredoxin_reductase_FprB,273,FAD/2Fe-2S,core_validated
Radical_SAM_MoaA,272,4Fe-4S,core_validated
DNA_glycosylase_Nth,268,4Fe-4S,core_validated
ThiC,265,4Fe-4S,extended_pfam
FeS_reductase_CCG,259,4Fe-4S,core_validated
Rieske_nitrite_reductase,251,2Fe-2S,core_validated
DNA_glycosylase_MutY,236,4Fe-4S,core_validated
CDGSH_NEET,235,2Fe-2S,extended_pfam
Radical_SAM_MiaB,223,4Fe-4S,core_validated
FhuF_siderophore_reductase,213,2Fe-2S,extended_pfam
Rieske_QcrA,202,2Fe-2S,core_validated
SerA_dehydrogenase,136,4Fe-4S,core_validated
NifU_assembly,133,assembly,extended_pfam
Radical_SAM_PqqE,131,4Fe-4S,core_validated
Radical_SAM_RlmN,125,4Fe-4S,core_validated
Serine_dehydratase,116,4Fe-4S,extended_pfam
Radical_SAM_HemN,104,4Fe-4S,core_validated
Radical_SAM_LipA,102,4Fe-4S,core_validated
Radical_SAM_BioB,56,4Fe-4S,core_validated
FbiC_FO_synthase,38,4Fe-4S,core_validated
PhnJ_CP_lyase,24,4Fe-4S,extended_pfam
CobG_precorrin,19,4Fe-4S,core_validated
FadH_dienoyl_CoA,12,4Fe-4S,core_validated
DUF779_FeS_candidate,6,4Fe-4S,core_validated
Aldehyde_Fd_oxidoreductase,3,4Fe-4S,extended_pfam
