family,n_genomes_present,prevalence_pct,category
Glutamate_synthase,277,100.0,core
Ferredoxin_4Fe4S,277,100.0,core
WhiB,277,100.0,core
SDH_FRD,277,100.0,core
Radical_SAM,277,100.0,core
SUF_biogenesis,277,100.0,core
Rieske,276,99.6,core
Ferredoxin_2Fe2S,276,99.6,core
Molybdoenzyme,275,99.3,core
NADH_dehydrogenase,274,98.9,core
Ferredoxin_reductase_FprB,273,98.6,core
IspG_HMBPP_synthase,272,98.2,core
Radical_SAM_MoaA,266,96.0,core
Rieske_steroid_oxygenase,261,94.2,accessory
FeS_reductase_CCG,259,93.5,accessory
Rieske_nitrite_reductase,248,89.5,accessory
Radical_SAM_MiaB,223,80.5,accessory
Rieske_QcrA,202,72.9,accessory
DNA_glycosylase_MutY,187,67.5,accessory
DNA_glycosylase_Nth,172,62.1,accessory
IPM_isomerase_LeuC,160,57.8,accessory
SerA_dehydrogenase,135,48.7,accessory
Radical_SAM_PqqE,131,47.3,accessory
Radical_SAM_RlmN,125,45.1,accessory
Nitrite_sulfite_reductase,114,41.2,accessory
Radical_SAM_HemN,104,37.5,accessory
Radical_SAM_LipA,102,36.8,accessory
Aconitase,90,32.5,accessory
Radical_SAM_BioB,56,20.2,accessory
FbiC_FO_synthase,38,13.7,accessory
CobG_precorrin,19,6.9,rare
FadH_dienoyl_CoA,12,4.3,rare
Serine_dehydratase,10,3.6,rare
DUF779_FeS_candidate,6,2.2,rare
